Rank,University,Town
1,Massachusetts Institute of Technology,Cambridge
2,Harvard University,Cambridge
3,Stanford University,Stanford
4,Cornell University,Ithaca
5,"University of California, Berkeley",Berkeley
6,University of Washington,Seattle
7,University of Michigan,Ann Arbor
8,Columbia University in the City of New York,New York City
9,University of Pennsylvania,Philadelphia
10,Yale University,New Haven
11,"University of California, Los Angeles",Los Angeles
12,University of Wisconsin-Madison,Madison
13,The University of Texas at Austin,Austin
14,University of Minnesota Twin Cities,Minneapolis
15,Purdue University,West Lafayette
16,University of Chicago,Chicago
17,New York University,New York City
18,Princeton University,Princeton
19,"University of California, Davis",Davis
20,"University of California, San Diego",San Diego
21,University of Florida,Gainesville
22,University of Southern California,Los Angeles
23,Carnegie Mellon University,Pittsburgh
24,Johns Hopkins University,Baltimore
25,Duke University,Durham
26,University of Illinois Urbana-Champaign,Champaign
27,Michigan State University,East Lansing
28,Arizona State University,Tempe
29,University of North Carolina at Chapel Hill,Chapel Hill
30,"Rutgers, The State University of New Jersey",New Brunswick
31,Texas A&M University,College Station
32,University of Colorado Boulder,Boulder
33,University of Maryland,College Park
34,University of Virginia,Charlottesville
35,The University of Arizona,Tucson
36,Northwestern University,Evanston
37,The Ohio State University,Columbus
38,"University of California, Irvine",Irvine
39,Washington University in St. Louis,St. Louis
40,North Carolina State University,Raleigh
41,Penn State University,University Park
42,Boston University,Boston
43,Indiana University Bloomington,Bloomington
44,The University of Utah,Salt Lake City
45,University of Pittsburgh,Pittsburgh
46,Virginia Polytechnic Institute and State University,Blacksburg
47,Brigham Young University,Provo
48,"University of California, Santa Barbara",Santa Barbara
49,Georgetown University,Washington
50,University of Nebraska-Lincoln,Lincoln
51,Georgia Institute of Technology,Atlanta
52,Tufts University,Medford
53,University of Georgia,Athens
54,Brown University,Providence
55,Oregon State University,Corvallis
56,University of Rochester,Rochester
57,California Institute of Technology,Pasadena
58,University of Iowa,Iowa City
59,University of Massachusetts Amherst,Amherst
60,George Washington University,Washington
61,George Mason University,Fairfax
62,Iowa State University,Ames
63,Colorado State University,Fort Collins
64,"University at Buffalo, State University of New York",Buffalo
65,University of Connecticut,Storrs
66,Vanderbilt University,Nashville
67,"University of California, San Francisco",San Francisco
68,Syracuse University,Syracuse
69,Florida State University,Tallahassee
70,University of Houston,Houston
71,University of Oregon,Eugene
72,Washington State University,Pullman
73,University of Notre Dame,Notre Dame
74,Emory University,Atlanta
75,University of South Florida,Tampa
76,Rice University,Houston
77,Dartmouth College,Hanover
78,"University of California, Santa Cruz",Santa Cruz
79,University of Illinois Chicago,Chicago
80,University of Kentucky,Lexington
81,"University of California, Riverside",Riverside
82,University of Central Florida,Orlando
83,Georgia State University,Atlanta
84,University of Kansas,Lawrence
85,University of Missouri,Columbia
86,University of Delaware,Newark
87,Northeastern University,Boston
88,University of South Carolina,Columbia
89,University of New Mexico,Albuquerque
90,University of Miami,Coral Gables
91,"The University of Tennessee, Knoxville",Knoxville
92,Louisiana State University,Baton Rouge
93,Rochester Institute of Technology,Rochester
94,Boston College,Chestnut Hill
95,University of Cincinnati,Cincinnati
96,University of North Texas,Denton
97,Temple University,Philadelphia
98,San Diego State University,San Diego
99,The University of Oklahoma,Norman
100,Drexel University,Philadelphia
101,Florida International University,Miami
102,University of Vermont,Burlington
103,University of New Hampshire,Durham
104,Case Western Reserve University,Cleveland
105,Clemson University,Clemson
106,Fordham University,The Bronx
107,Virginia Commonwealth University,Richmond
108,Oklahoma State University,Stillwater
109,Utah State University,Logan
110,American University,Washington
111,The University of Alabama,Tuscaloosa
112,Rensselaer Polytechnic Institute,Troy
113,"University of Maryland, Baltimore County",Baltimore
114,West Virginia University,Morgantown
115,Auburn University,Auburn
116,University of Arkansas,Fayetteville
117,Wayne State University,Detroit
